,AGE_0,AGE_10,AGE_20,AGE_30,AGE_40,AGE_50
PGA_00,0,0,0.000000,0.000000,0.000000,0.000000
PGA_01,0,0.000000,0.000000,0.000000,0.000000,0.000003
PGA_02,0.000000,0.000000,0.000000,0.000000,0.000002,0.000077
PGA_03,0.000000,0.000000,0.000000,0.000001,0.000046,8.9677342552752003E-4
PGA_04,0.000000,0.000000,0.000003,0.000016,4.59760313291535E-4,5.7539988503044802E-3
PGA_05,0.000000,0.000000,0.000031,1.5163302914811299E-4,2.7665037074410298E-3,2.3457433287967299E-2
PGA_06,0.000000,0.000002,2.2334467465834299E-4,9.0632659424738605E-4,1.1271963035193301E-2,6.7600899360148001E-2
PGA_07,0.000000,0.000013,1.11675906442466E-3,3.84062647366645E-3,3.3810877001129502E-2,0.14909038850168699
PGA_08,0.000000,0.000078,4.1724363864148496E-3,1.2343305263453E-2,7.9562255391152401E-2,0.26735061097976898
PGA_09,0.000002,3.4592126149291002E-4,1.22914296502934E-2,3.16997712543639E-2,0.154308196520239,0.40867566058818899
PGA_10,0.000010,1.2273436484929699E-3,2.9784128595401901E-2,6.7789374866494695E-2,0.25648830145399198,0.55289013721754598
PGA_11,0.000045,3.5948598362152101E-3,6.1411696077729901E-2,0.124760397619021,0.37703983470983099,0.68221866719547097
PGA_12,0.000161,8.9555444009595808E-3,0.11074893158678401,0.20297592456685801,0.50287674250234105,0.78651507384300601
PGA_13,0.000494,1.9445810277833299E-2,0.17867259072842701,0.29843073171672901,0.62146485241638205,0.86357148524986604
PGA_14,1.31237406651652E-3,3.75568905745952E-2,0.26275569792695103,0.40386464015152101,0.72404253346866798,0.91652484251569799
PGA_15,3.0904697728458799E-3,6.5621608668195705E-2,0.35780905083908099,0.51084791164565302,0.80660258799247497,0.95079600299326905
PGA_16,6.5479925914811998E-3,0.105222830315291,0.45721807603706899,0.61182223436702099,0.86913703421095601,0.97190103925243698
PGA_17,1.2650256851430199E-2,0.15673305023547299,0.55445315067085399,0.70140188040150897,0.91413817108386197,0.98437453531043395
PGA_18,2.25398462195684E-2,0.219139500667969,0.64423182774310095,0.77676398931560497,0.94515181792996095,0.99150065219091599
PGA_19,3.7404698898914797E-2,0.29019205609012599,0.72309895902741805,0.83734112431768803,0.965760238281685,0.99545983512478498
